1	25
1	27
1	60
1	62
3	16
3	39
3	46
4	38
7	7
7	53
8	19
9	9a
9	56
9	67
9a	22
9a	23
9a	56
10	57
12	33
12	33.5
16	16
16	19
16	24
16	33
16	42
16	59
16	64
18	33.5
18	41
18	59
18	65
19	18
19	19
19	43
21	33
21	33.5
21	42
21	65
22	21
22	33
22	33.5
22	34
22	41
22	43
22	59
22	65
22	68
23	18
23	21
23	65
23	68
24	52
25	2
25	3
25	8
25	9a
25	12
25	15
25	18
25	19
25	24
25	25
25	27
25	30
25	32
25	33
25	33.5
25	36
25	38
25	39
25	41
25	42
25	43
25	44
25	49
25	50
25	51
25	52
25	55
25	56
25	57
25	59
25	64
25	65
25	67
25	68
25	S/L
26	26
27	9a
27	11
27	16
27	19
27	21
27	22
27	23
27	24
27	27
27	33
27	33.5
27	34
27	38
27	42
27	43
27	50
27	60
27	62
27	64
27	65
27	68
33	33
33	33.5
33	66
34	34
34	42
36	36
36	S/L
38	11
38	19
38	26
38	44
39	8
39	23
39	24
39	32
39	39
39	42
39	59
39	64
39	65
39	68
39	S/L
42	65
43	65
44	61
46	17
46	24
46	26
46	38
46	45
50	50
56	14
56	33
56	33.5
56	41
56	65
60	3
60	9a
60	12
60	15
60	23
60	24
60	28
60	33
60	33.5
60	41
60	42
60	43
60	60
60	65
60	68
61	50
61	55
61	61
61	68
62	4
62	19
62	24
62	44
62	50
62	61
62	S/L
66	33.5
67	65
